                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0568,                 4.4678,                 4.4214,                0.00075,                0.28389,                0.00081,                0.00018,                 2.7987,                 4.3794,                 4.1564,             0.00020004,             0.00020004,             0.00020004
                      2,                 2.9191,                 3.9864,                 4.1317,                0.00087,                0.31261,                0.00106,                0.00022,                 2.7958,                 4.3699,                 4.1563,             0.00041262,             0.00041262,             0.00041262
                      3,                 2.7279,                 3.4428,                 3.8656,                0.00074,                0.28866,                0.00099,                0.00021,                 2.7939,                 4.3265,                 4.1701,             0.00062092,             0.00062092,             0.00062092
                      4,                 2.6618,                 2.9527,                 3.6023,                0.00078,                0.29328,                0.00087,                0.00018,                 2.8318,                 4.3083,                 4.2333,             0.00082492,             0.00082492,             0.00082492
                      5,                 2.5612,                 2.7407,                 3.4346,                0.00111,                0.35042,                0.00112,                0.00024,                 2.8083,                 4.2828,                 4.2367,              0.0010246,              0.0010246,              0.0010246
                      6,                 2.4342,                 2.7014,                 3.2895,                0.00231,                0.56527,                 0.0114,                0.00181,                 2.6435,                 4.3007,                 3.9531,              0.0012201,              0.0012201,              0.0012201
                      7,                 2.1923,                  2.434,                  3.032,                 0.0033,                0.66611,                0.01225,                0.00379,                 2.4131,                  4.006,                 3.5859,              0.0014112,              0.0014112,              0.0014112
                      8,                 2.0276,                 2.3551,                 2.8709,                0.00421,                0.82997,                0.02534,                 0.0086,                 1.9476,                 4.0409,                 3.6937,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.0362,                 2.3403,                  2.819,                0.51006,                0.04412,                 0.0021,                0.00051,                 2.0418,                 11.631,                 6.6275,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.8619,                 2.2665,                  2.739,                0.31156,                0.06624,                0.19318,                0.11503,                 1.9551,                 3.5331,                 3.0244,               0.001535,               0.001535,               0.001535
                     11,                 1.9548,                 2.1924,                 2.7523,                0.40653,                0.45513,                0.37214,                0.17924,                  1.939,                 2.5636,                 2.7027,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.8359,                 2.1267,                 2.6436,                0.25023,                0.02412,                0.09371,                0.06282,                 1.5301,                 3.6376,                 2.7786,               0.001502,               0.001502,               0.001502
                     13,                 1.8127,                 1.9919,                 2.5236,                0.38358,                0.32083,                0.33992,                0.16336,                 1.7167,                 2.8583,                 2.7397,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.6514,                 1.8944,                 2.4148,                0.46147,                0.93371,                0.54395,                0.31918,                 1.4428,                  1.813,                 2.1746,               0.001469,               0.001469,               0.001469
                     15,                 1.6296,                 1.8499,                 2.3658,                 0.4942,                0.84355,                0.53542,                0.29955,                 1.5779,                 1.8254,                 2.2952,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.4666,                 1.7426,                 2.2328,                0.46245,                0.87093,                0.52988,                0.27366,                 1.6385,                 1.9214,                 2.3629,               0.001436,               0.001436,               0.001436
                     17,                 1.4338,                  1.773,                 2.1872,                0.48874,                0.87003,                0.56246,                0.30806,                 1.5682,                 1.9404,                 2.2184,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3492,                 1.6549,                 2.1029,                0.51282,                0.96218,                0.57806,                0.36999,                 1.2808,                 1.5892,                 2.0527,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.2858,                 1.6567,                 2.0544,                 0.4535,                0.98571,                0.54142,                0.35553,                 1.2027,                 1.6895,                 1.8541,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2881,                 1.6185,                 2.0295,                0.53388,                0.93821,                0.62148,                0.46304,                0.92191,                 1.4992,                 1.6749,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.2107,                  1.523,                 1.9187,                0.47947,                0.98057,                0.61112,                0.47866,                 0.9007,                 1.4538,                 1.6489,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.2099,                 1.5789,                 1.8971,                0.51166,                0.88915,                0.61254,                0.47415,                0.84264,                 1.3627,                 1.6078,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.1551,                 1.4406,                 1.8216,                0.50102,                0.91797,                0.57605,                0.45643,                0.89874,                 1.4343,                 1.6214,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1892,                 1.4674,                 1.8526,                0.52415,                 0.9135,                0.66059,                0.50028,                0.85873,                 1.3426,                 1.5292,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.1513,                  1.422,                 1.8126,                 0.5463,                0.92377,                0.65522,                0.50412,                0.92015,                 1.4542,                 1.5332,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0963,                 1.3585,                   1.77,                0.52869,                0.85051,                0.70761,                0.57091,                0.78764,                 1.3289,                 1.4804,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0742,                 1.3789,                 1.7596,                0.58513,                0.86485,                0.71694,                0.57799,                 0.7192,                 1.2557,                 1.4472,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.1059,                 1.3919,                 1.7746,                 0.6706,                0.87479,                0.81108,                0.65392,                0.77605,                 1.2175,                 1.4515,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1143,                 1.3159,                   1.77,                 0.5978,                0.87269,                0.75217,                0.57453,                0.96915,                 1.4448,                 1.5478,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0368,                 1.2762,                 1.7091,                0.62991,                0.90536,                0.82427,                0.60851,                 1.0011,                 1.3554,                 1.7337,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0762,                 1.2279,                 1.7393,                0.81667,                0.90564,                0.96662,                0.75037,                0.82938,                 1.0601,                 1.4285,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0746,                 1.1784,                 1.7124,                0.79461,                0.87227,                0.91381,                0.72209,                0.84676,                 1.1267,                 1.5198,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.0302,                 1.1297,                 1.6721,                0.82763,                0.88615,                0.94115,                0.73635,                0.85082,                  1.015,                 1.5245,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0394,                 1.1027,                 1.6717,                0.86285,                0.93051,                0.96404,                0.76628,                0.80423,                 1.0794,                 1.4819,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0229,                 1.1081,                 1.6887,                0.88046,                0.83643,                 0.9582,                0.78683,                0.75177,                0.88513,                 1.3953,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0719,                 1.0209,                 1.6883,                0.92523,                0.95098,                0.97781,                0.78617,                0.79162,                0.84002,                 1.4146,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0542,                 1.0484,                 1.6567,                0.71146,                0.94762,                0.95244,                0.77213,                0.78548,                 1.0863,                 1.3739,              0.0010894,              0.0010894,              0.0010894
                     38,                0.97917,                 1.0417,                 1.6242,                0.91009,                0.95367,                 0.9807,                0.84729,                0.61746,                0.81861,                 1.3221,              0.0010729,              0.0010729,              0.0010729
                     39,                0.95236,                0.97967,                 1.5944,                0.95181,                0.94732,                0.98784,                 0.7955,                0.76928,                0.75346,                 1.4286,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.9745,                0.97285,                 1.5741,                0.96529,                0.95588,                0.99209,                0.81542,                0.70946,                0.76827,                 1.3646,              0.0010399,              0.0010399,              0.0010399
                     41,                0.94384,                0.94865,                 1.5921,                0.88746,                0.86223,                0.97368,                0.82488,                0.62974,                  0.808,                 1.3241,              0.0010234,              0.0010234,              0.0010234
                     42,                0.88999,                0.91242,                 1.5483,                0.98851,                 0.9879,                0.99407,                 0.8209,                0.70529,                0.64037,                 1.3216,              0.0010069,              0.0010069,              0.0010069
